,text,label,Emotions,Emotions_Label,cluster
0,federal judge rules against cdc throws out cruise guidelines in fl ,masking and distancing,"[{'label': 'neutral', 'score': 0.996615469455719}]",neutral,0
1,indeed even in the dysfunctional us health system they have the national vaccine inju... ,vaccination,"[{'label': 'approval', 'score': 0.9017173647880554}]",approval,0
2,a vaccine seems to be essential if we are to start travelling againwith any confidencebecause fear of the v... ,vaccination,"[{'label': 'fear', 'score': 0.9849308729171753}]",fear,0
3,nurses union calls on cdc to reinstate universal mask guidelines ,masking and distancing,"[{'label': 'neutral', 'score': 0.9974426031112671}]",neutral,0
4,sirf company amp it is workers jobs are safe baaki sa... ,,"[{'label': 'neutral', 'score': 0.9915571212768555}]",neutral,0
5,the cdcs new guidelines state that even if you are fully vaccinated and wearing a mask you should still google lasd gangs,masking and distancing,"[{'label': 'neutral', 'score': 0.9846641421318054}]",neutral,0
6,why dont you tell big brother newsom to follow the science and to follow the cdc guidelines on mask wearing in schools,masking and distancing,"[{'label': 'annoyance', 'score': 0.3810069262981415}]",annoyance,1
7,"the coronavirus vaccine tracker
by ",vaccination,"[{'label': 'neutral', 'score': 0.9978805780410767}]",neutral,0
8, very large spread in vaccine effeciacy (flu is modest to measles being v effective) depending on... ,vaccination,"[{'label': 'neutral', 'score': 0.9112579822540283}]",neutral,0
9,"a: how did i miss this discussion
doing my best to continue to advocate for on some esp... ",vaccination,"[{'label': 'confusion', 'score': 0.6851310133934021}]",confusion,0
10,i currently follow cdc guidelines not public opinion,masking and distancing,"[{'label': 'approval', 'score': 0.9685302376747131}]",approval,0
11,california schools will still require masks despite cdc guidelines ,masking and distancing,"[{'label': 'neutral', 'score': 0.9724881649017334}]",neutral,0
12,johnson amp johnsons coronavirus vaccine is fourth to begin phase trials in the united states ,vaccination,"[{'label': 'neutral', 'score': 0.9963580965995789}]",neutral,0
13,fridays articles on school reopening  new cdc guidelines edition ,masking and distancing,"[{'label': 'neutral', 'score': 0.9912194609642029}]",neutral,0
14,china national biotech group has two vaccine candidates out of five from chinese developers that are in the final s... ,vaccination,"[{'label': 'neutral', 'score': 0.9929747581481934}]",neutral,0
15,i admit the dropping of masks from cdc guidelines amp ensuing dropping of masks in stores are what finally convinced me to get vaccinated tx was one of the first to drop the mandate but people still masked in urban areas but yes it is backfiring horribly,masking and distancing,"[{'label': 'approval', 'score': 0.6624884009361267}]",approval,1
16,i am not crazy i do not like crazy people i follow the cdc guidelines of wearing a mask for those that are not vaccinated such as myself that does not mean i do not care about my life after several tests (including recently) i have tested negative for any symptoms,masking and distancing,"[{'label': 'anger', 'score': 0.36075958609580994}]",anger,1
17,welk this is concerning ,vaccination,"[{'label': 'fear', 'score': 0.8422711491584778}]",fear,0
18,covid items bechne walo stock clear karo vaccine aa gaya amp save money vaccine bhi to black me bechna hai... ,vaccination,"[{'label': 'neutral', 'score': 0.8158850073814392}]",neutral,0
19, you also need burnol or covid vaccine ,vaccination,"[{'label': 'neutral', 'score': 0.9951523542404175}]",neutral,0
20, and then there are talks on using like model for the roll out of (... ,vaccination,"[{'label': 'neutral', 'score': 0.9900424480438232}]",neutral,0
21,$jnj as situation drags on think we can safely say participant got vaccine not the placebo,vaccination,"[{'label': 'neutral', 'score': 0.8271847367286682}]",neutral,0
22,it will probably be compulsory here too why else would trump say the military is going to distribute the vaccine i... ,vaccination,"[{'label': 'curiosity', 'score': 0.777288019657135}]",curiosity,0
23,as someone who grew up in upland and alta loma fuck you this is not only morally bankrupt its against cdc guidelines,,"[{'label': 'anger', 'score': 0.931622326374054}]",anger,0
24,the has published updated requirements for emergency use authorization (eua) for therapeutics... ,vaccination,"[{'label': 'neutral', 'score': 0.8525190353393555}]",neutral,0
